title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time
cheese@beer,,"Nice place to be there on a sunny day  )). It could be better, but overall it's nice and vibrating. You can walk there and take a sip of any kind of beverage. It's crowded and it's fun to see other people there.","April 18, 2021",0,0,,5.0,2021-06-18 19:08:40.538921,2021-06-18 19:08:40.633285
A short stroll should do it,,"Nice to walk around during the day, but in the evening it gets a bit dicey. And stay near the hub... too close to Hastings Street and you'll feel the socio-economic shift.","October 22, 2020",0,0,,3.0,2021-06-18 19:08:40.633291,2021-06-18 19:08:40.751982
Welfares,,"Allot of welfares live here, just look for the big red W! It was once Woodwards Department Store, now it stands for Welfare bums!!!","October 17, 2020",0,0,,1.0,2021-06-18 19:08:40.751989,2021-06-18 19:08:40.843320
Not impressed at all,,"Perhaps it was because our visit was on a rainy weekday evening, but I was underwhelmed by Gastown.   Most of the stores were closed, except for a few selling souvenirs.  Many restaurants were closed, however there were a number of brew pubs open.  I wanted to see this area, as my parents grew up just blocks away.  Maybe if we visited during the day, or on the weekend, it would been more interesting, however that will have to wait until another trip to Vancouver.","October 10, 2020",0,0,,3.0,2021-06-18 19:08:40.843326,2021-06-18 19:08:40.965673
🤮🤮,,"Way too many homeless people. Honestly they creep me, if you are okay with them, there are couple of good places to sit. One is right next to the gas clock.","October 9, 2020",0,0,,2.0,2021-06-18 19:08:40.965678,2021-06-18 19:08:41.081637
Very disappointed,,"Such a beautiful area with a lot of history however, the morning we visited was a disappointment. The streets were very pungent. They smelled very strongly of urine. There were many people sleeping on the streets there. Also, due to construction, it was extremely noisy. Not a pleasant visit at all.","September 18, 2020",0,0,,3.0,2021-06-18 19:08:41.081642,2021-06-18 19:08:41.170778
Must see!,,"From the steam clock to the amazing boutique shopping, Gastown is a MUST! You will find amazing appetizers and drinks along the way! Flying Pig or Pourhouse for Happy Hour is a can’t miss!!","September 5, 2020",0,0,,5.0,2021-06-18 19:08:41.170784,2021-06-18 19:08:41.263613
Steam Clock @ Gastown,,"As the birthplace of Vancouver, Gastown is a MUST VISIT! Gastown is accessible from the Waterfront Skytrain Station and is full of unique shops, restaurants and bars.The Steam-clock puts on a show every 15 minutes and it is neat to see and hear.","August 31, 2020",0,0,,4.0,2021-06-18 19:08:41.263619,2021-06-18 19:08:41.375244
Fun time in Gastown!,,"We visited Vancouver in April 2019 and loved Gastown with it's historic streets, great shops, coffee shops and pubs. The Gastown Steam Clock is a must see, make sure you are there on the hour when the clock whistles and puff steam from its top. Gastown is where the pioneers named the city Vancouver in 1885. Gastown was named after the founding father, ""Gassy Jack"" John Deighton, the Deighton House Hotel saloonkeeper known for his 'Gassy' monologues. The Hotel burnt down in the 'Great Fire of 1886'.","August 29, 2020",0,0,,5.0,2021-06-18 19:08:41.375250,2021-06-18 19:08:41.466444
A must see,,"If it is your first time to Vancouver, put this area on your must see list. The historic steam clock offers a great photo op. Lots of shops and restaurants to check out. Vancouver is such a walkable city. Walking offers a great way to explore.","August 22, 2020",0,0,,4.0,2021-06-18 19:08:41.466450,2021-06-18 19:08:41.581047
