,title,location,reviews,date,contribution,upvote,reviewer_name,ratings,start_time,end_time,sentences,phrases,score,asp_word,det_word
95,Quick trip before return to the airport,,Got the ferry and had a great time at the wonderful food market. Lots of lovely shops and had a nice pint in the local brewery tap house.,"February 19, 2020",0,0,,5.0,2021-06-18 11:14:59.012843,2021-06-18 11:14:59.094592,Lots of lovely shops and had a nice pint in the local brewery tap house.,had a nice pint in the local brewery tap house,0.9927440881729126,housing,house
289,Eat shop & play,,"Granville island is a foodie playground. The trip over by the acqua bus is beautiful and reasonably priced. You can access the island via car or by foot. So the food kiosks are amazing housed in a wearhouse type structure. You can eat quality foods of all types as well as bakeries, amazing breads, cheeses, gelato. Not enough seating especially on weekends very crowded. If you can visit on a week day much more enjoyable. Prices are not overly excessive considering it's a tourist destination. If kiosks aren't your preference for eating there are several sit down quality restaurants of all prices. Some examples I've tried are Kegs, Sandbar, Bridges and Vancouver seafood and fish house. Great seafood, fresh fish and steak. Picture taking views as well as happy hour. After your food fill there are shops to browse but you'll pay tourist prices. There is a huge structure for kids but noisy. If it's raining you can easily keep them busy. Granville also offers a theater with very entertaining productions reasonably priced. A plus it's one of the rare attractions that always has cabs waiting. Granville Island is a must see","October 29, 2019",0,0,,4.0,2021-06-18 11:18:57.099597,2021-06-18 11:18:57.182233,"Some examples I've tried are Kegs, Sandbar, Bridges and Vancouver seafood and fish house.","are Kegs, Sandbar, Bridges and Vancouver seafood and fish house",0.975486695766449,housing,house
323,So much to see and do,,"If you're wondering which neighborhood to stay in to see the most of Vancouver in the shortest amount of time, this is the spot. The restaurants, Granville Market, Stanley Park, etc. are easy to get to and make for a fun few days.","October 20, 2019",0,0,,5.0,2021-06-18 11:19:40.988818,2021-06-18 11:19:41.079803,"If you're wondering which neighborhood to stay in to see the most of Vancouver in the shortest amount of time, this is the spot.",If you're wondering which neighborhood to stay in to see the most of Vancouver in the shortest amount of time,0.9999632835388184,housing,neighborhood
593,Dinner Out,,Had a lovely meal last. Edible Canada.Walked over bridge from Downtown.(across the water)Lovely long walk. GREAT views from the bridges. Granville Public Markets were closing but looked like a place to visit when we return in a few weeks. Some great residential places on this side. Really quite pretty around the fishing harbour.,"September 5, 2019",0,0,,4.0,2021-06-18 11:24:33.346903,2021-06-18 11:24:33.431672,Some great residential places on this side.,Some great residential places,0.9941755533218384,housing,residential
603,Tourist highlight,,"We visited the Island twice. Loved the public (farmer's market). It was a bit crowded, but it has everything fresh and locally sourced. Ate lunch at Bridges, sitting at the edge of the dock. Lovely views of the marina and the Burrard Street bridge but the food was average. I would suggest Tony's or the Vancouver Fish Company or Edible Canada.We came back to eat at the Pacific Institute of Culinary Arts. The menu is affordable and the food is delicious. Keep in mind, it is a culinary school, so don't expect 5-star service :). But the food & dessert are totally worth it","September 4, 2019",0,0,,5.0,2021-06-18 11:24:44.293451,2021-06-18 11:24:44.376995,The menu is affordable and the food is delicious.,The menu is affordable,0.9982731342315674,housing,affordable
671,Wow! What an unexpected delight,,"This place with the market was incredible! So many different food vendors and tastes to try. Very busy on a Saturday, including a live band outside.Take the AquaBus and enjoy other areas in the neighborhood, as well!","August 26, 2019",0,0,,5.0,2021-06-18 11:26:03.580973,2021-06-18 11:26:03.668275,"Take the AquaBus and enjoy other areas in the neighborhood, as well!","Take the AquaBus and enjoy other areas in the neighborhood, as well",0.9964494705200195,housing,neighborhood
708,Island hopping.,,"Hop on/ hop off water tour an excellent/ good value way to see several Vancouver highlights in an affordable manner. Granville Island was a highlight of this tour. Atmospher, old world, quiet streets. Local market a delight-- fresh produce, varied eateries, excellent and varied craft stalls. Interesting shops and art galleries.","August 21, 2019",0,0,,5.0,2021-06-18 11:26:35.212522,2021-06-18 11:26:35.291958,Hop on/ hop off water tour an excellent/ good value way to see several Vancouver highlights in an affordable manner.,an excellent/ good value way to see several Vancouver highlights in an affordable manner,0.9988730549812317,housing,affordable
826,Fun Time - Lots to see and do. Take your time.,,"Something for everyone on Granville Island. Food of all kinds, shopping, artists, things for kids - play toys and water park - music and lots of people and scenery watching. You can spend several hours here. We took the Aquabus over from the Vancouver City side. It was a very efficient/affordable way to travel. The island got really busy around 11am but had thinned a bit by 2pm or so. I could imagine visiting this location each time we visit.","August 4, 2019",0,0,,5.0,2021-06-18 11:28:43.530644,2021-06-18 11:28:43.611207,It was a very efficient/affordable way to travel.,was a very efficient/affordable way to travel,0.9985498785972595,housing,affordable
886,"Shopping,food and drink.",,"I wish I'd known that you could get a water bus here, they run quite frequently and not unreasonably priced. It would have saved us arguing with my teenage son, who didn't enjoy the long walk over that treacherous bridge. It would also have given us more time to explore this fabulous place. There are plenty of places to eat, some great markets and a brew house amongst other shops for souvenirs. It all started closing down about 6pm which was a shame. Would definitely recommend this trip if visiting Vancouver.","July 25, 2019",0,0,,5.0,2021-06-18 11:29:49.764401,2021-06-18 11:29:49.842905,"There are plenty of places to eat, some great markets and a brew house amongst other shops for souvenirs.","are plenty of places to eat, some great markets and a brew house amongst other shops for souvenirs",0.9971051812171936,housing,house
1242,"Previously a Vancouver favourite, but pay parking has taken over",,"This was a go-to family favourite in Vancouver: great place to bring kids for lunch and a stop by Kids Only Market and a regular shopping place for fresh produce and some specialty groceries (Duso's, Oyama etc). With free parking we'd often drop by after work on a whim to grab bread from Terra or pick up dinner to-go from a stall. It was often busy, but with so many people coming in and out I never failed to get a parking spot without much of a wait (at most maybe 3-5 minutes; even at the weekend I can't say I ever left for lack of parking). Went today to find pay parking had been put in place everywhere (cash grab?). I would normally grab a coffee with friends and then browse for groceries and maybe some new spices or things to try, but it was hard to estimate how much time I'd need and waiting in line at the vendors just drove home that I was paying for the privilege of being in line.I guess I'll come back for special occasion shopping (although there's no way I'm paying for parking during the December queues at Oyama; too bad, it was great food), but won't be stopping by to pick up Terra or a papaya salad just because I'm in the neighbourhood anymore, and will definitely replace it as a coffee spot with friends with somewhere free to park. It's a nightmare to take public transit to the market from my house, particularly while carrying groceries, so I think I just won't be coming like I used to :(Huge disappointment. If the parking was first hour free to encourage locals to keep using it as a place to grocery shop or for a quick coffee or meal with friends it would be reasonable, but I'll be heading to my local coffee shop, grocery store & summer farmer's market instead.","June 6, 2019",0,0,,2.0,2021-06-18 11:37:24.034582,2021-06-18 11:37:24.113557,"although there's no way I'm paying for parking during the December queues at Oyama; too bad, it was great food), but won't be stopping by to pick up Terra or a papaya salad just because I'm in the neighbourhood anymore, and will definitely replace it as a coffee spot with friends with somewhere free to park.","won't be stopping by to pick up Terra or a papaya salad just because I'm in the neighbourhood anymore, and will definitely replace it as a coffee spot with friends with somewhere free to park",0.8704283833503723,housing,neighbourhood
